osm_id,id,com_nom
way/401457648,71edbb77-d7ff-42a8-bd36-c28135a28b96,Béhoust
way/696665023,db98821b-0546-42e0-8e5b-0ee52d2dac5a,Béthemont-la-Forêt
relation/1003292,8d9b66e3-aa90-4d20-b92d-6bc687efd8aa,Cachan
node/4048975595,8a242e55-e74f-48fd-8831-5b97ed13252a,Camopi
way/115186628,b611a1dc-ede0-4ffb-a25b-2f8d064d7029,Cannes-Écluse
way/287147726,e907770e-1333-40d0-bbde-b4aad025e03c,Capesterre-Belle-Eau
way/125323241,e5e7d933-8504-4bc7-97ff-2df5abc6b293,Capesterre-de-Marie-Galante
node/4798916931,8a94dbd1-d3bc-4df1-a5b3-1d6693f3f964,Carnetin
way/92118865,f27a2dca-5d66-4680-b5d1-2ea501e4b6f2,Carrières-sous-Poissy
way/131396947,d380a978-e8a0-4944-8d16-5158e685699a,Carrières-sur-Seine
way/177538596,abe5569b-6d2d-4e0e-806c-31636812d7ff,Case-Pilote
way/71470728,f67f764b-2c50-4e4b-9a03-7a714e234481,Cayenne
way/102971120,7004a2b2-d3fd-4e78-a00f-b0c80920cfd1,Cergy
way/286921038,1d088e28-37a9-444d-a674-5cc697803248,Cernay-la-Ville
way/115309054,50358eb2-cea7-44f8-a391-86253c6c9687,Cerneux
way/141007642,b4773c5c-d2b1-4ffc-b6df-7df33ae552ff,Cerny
way/113223218,b752f1f0-c95e-45fa-8aa8-a0b8ce698781,Cesson
node/4798915563,981a4a27-d790-4290-a2df-c55b4331e588,Cessoy-en-Montois
node/10116615156,e8a11988-0ae1-46b1-a66b-1cfaabbcf64f,Cezais
way/30836803,22368f09-840c-43b6-bebf-1151dfc554b2,Chailly-en-Bière
node/1645490649,55888ba5-1ccf-4244-9972-6223b59e8518,Chailly-en-Brie
node/4798913802,9659318d-42c7-4fc4-b787-d1f75e96f224,Chaintreaux
node/4798915872,cc327ded-4aac-4b77-83c0-94c755bc6ed2,Chalautre-la-Grande
node/4798915897,dbbbe22f-e0d3-445c-9bd2-dc39229cd892,Chalautre-la-Petite
node/4798915891,943fe8c1-c28d-49f5-bf18-670391e11091,Chalifert
node/3974485342,cf8aa04f-7640-4b76-8407-da564c9452a2,Chalmaison
node/2354686511,c5b30c0b-e530-4bab-95a0-96f7a9e6e4ce,Chalo-Saint-Mars
node/3499182388,65c6b18f-7e43-4dc1-bb05-dc2d2ad982cc,Chalou-Moulineux
way/146074067,6249b7ad-4b17-4164-a1b0-58a4b39100ff,Chamarande
node/11036370375,6e50761d-0996-413e-ab28-794008c2b905,Chambourcy
node/3842874864,962bff19-33af-4a3c-8149-49d80a91fbcc,Chambry
node/4798916934,623af552-a3bd-40ff-ad14-a621a369bdfe,Chamigny
node/2244841632,78b49139-3bae-4d99-85f6-a5671e731242,Champagne-sur-Oise
way/115198773,9bb7863a-6e3a-4220-adf9-818d936f754c,Champagne-sur-Seine
node/4798915868,5e208bdc-19a0-4cb6-863a-7b6af20ede55,Champcenest
way/153036253,ed80f238-468d-4f99-9ed3-1ec2fcea347f,Champcueil
way/113305753,cd77ba75-6d5d-47a4-9e6e-4e41fb539aa8,Champdeuil
way/176175881,f8878d98-037a-4eea-88a3-8d3688dce537,Champeaux
node/2702498234,2dc9de25-6aa9-4896-b503-0e3d19817390,Champigny-sur-Marne
way/146303014,26297100-f57b-4a98-b893-a4d9b18d1d2b,Champlan
way/345898254,3ef23fe4-4690-4dcb-84c1-6f8e25ef1da8,Champmotteux
relation/2673069,41dd51b7-43d5-45c3-a2f7-392b7b50f4cb,Champs-sur-Marne
node/4077694640,c7addd83-39b8-4e85-92c3-6a46c2b97397,Changis-sur-Marne
way/115371880,d05253ea-40b0-49c3-aa60-375fd269c3ef,Chanteloup-en-Brie
way/224423684,6b11706c-54b7-4519-925b-4bb6403d6380,Chanteloup-les-Vignes
node/509263858,491f61ee-5180-477b-b86d-f7656a8b22b9,Chapet
way/149276228,bf44ec72-48c5-4cd5-8d8a-2ebc7d56e6a2,Charenton-le-Pont
node/3351967873,bee39188-534f-4099-8351-c0ce9a3ec422,Charmentray
node/8168518464,98cea978-2e2f-49f7-b21f-41c924315893,Charmont
node/3351968053,90738439-6644-4317-b76f-76663fe3f223,Charny
node/500854535,0d95b18a-5c0c-4ca8-97e7-fe608d890dc3,Chars
node/2362233346,7c0a2430-a60a-4d10-882c-d6853d77ffc5,Chartrettes
node/4798913791,86da5e0c-52df-4822-8e67-3ec01258c5fb,Chartronges
node/3499188917,30aa23d6-7f6f-4d3b-bbaa-76ea7a57272d,Chatignonville
way/49158537,bd690a8a-350f-4107-936f-20166aa9314a,Chatou
way/116129531,338228d2-dc11-462c-88ff-4359682c6d36,Chauconin-Neufmontiers
node/3499191774,e24f4410-8bfd-469a-a4da-fe252afa6eff,Chauffour-lès-Étréchy
way/115149865,86a7caff-e73b-431a-8e27-bbb4a836cdd6,Chauffry
node/1219372183,3504a2f0-a64e-4a87-a8e4-e0c11a339d3d,Chaufour-lès-Bonnières
node/980768724,13fbe043-734e-4430-8ddc-dbae62d284a0,Chaumes-en-Brie
way/147484430,917e8480-04ff-4ccf-904c-b133713b1e24,Chaumontel
way/433221974,1120e367-9512-41b2-9823-ea4b1bae478d,Chaussy
way/437163837,925fe371-90ec-454d-9edd-df4435e13b86,Chauvry
way/63466362,a49939aa-bb42-4de2-a0c4-8d10af90392b,Chavenay
way/132162478,355f3722-bf6b-4fce-8c06-bb3d108e6d00,Chaville
way/111038720,aa283e8f-ae35-4729-a92e-877a8ab1621f,Chelles
node/11042465952,2a92e121-1ac0-42bb-b43a-9fdac84287f1,Chennevières-lès-Louvres
way/109256694,bf3ff90c-550e-4d99-a8af-81ef81e3b424,Chennevières-sur-Marne
way/161044237,5de54c6b-def3-4b27-912d-a8cf74e0885a ,Chenoise-Cucharmoy 
node/4798915881,fab144cc-9570-4bcd-ab19-32d996daaba3,Chenoise-Cucharmoy 
node/4798915873,207c73b7-b5d6-4c2f-91a7-06548ea00804,Chenou
way/107365740,ca8b6b48-23a1-406b-9063-9217ef90ce2c,Cheptainville
Way/47289619,5e8502cb-b69c-418f-b4a3-22816d5b1497 ,Cherves-Richemont
node/4798915853,3eb2cdd2-35a5-45f4-b2b8-9067eb7f37f7,Chessy
node/9309413563,8e4fe185-38f3-425d-8aa2-e34169874d3a,Chevannes
way/155546358,1e673c75-155c-4085-a4d6-682378638a7d,Chevilly-Larue
node/4798915860,914532f2-7e95-4cb2-86af-d5c71e75f362,Chevrainvilliers
way/405387271,d1804ec2-17e8-4cb4-89c1-a892056f621a,Chevreuse
node/1636457731,66ae3f1d-1b00-4c2f-8deb-c365b0819cf9,Chevru
way/97561399,7e6358a1-0139-45bc-964d-166f863bce36,Chevry-Cossigny
way/278566942,2b445ea8-dff4-4e5e-b642-26b3869e2a09,Chevry-en-Sereine
node/4737488821,79ead539-37f2-48a1-88b3-ea81787b99fb,Chiconi
way/161214689,e666a473-67da-4889-b9c6-6dbf212cb5ea,Chilly-Mazarin
node/4382643974,801d46a0-8383-451a-8994-0e1b5e5842d0,Chirongui
way/399123667,d75be620-16e0-4ca6-9f75-7a5b9494c84e,Choisel
node/4798915606,b99c71ea-75cc-41f2-93b2-14113f91d217,Choisy-en-Brie
way/66132737,a7cb763f-e6a9-4ddd-9f5a-2809b282e2e0,Choisy-le-Roi
node/423989967,830ac83e-5a0d-4ec0-a7c9-fe80f9124c2e,Château-Landon
way/148529985,3497246a-14ee-4b0f-8e31-e05f81ec4cfa,Châteaubleau
node/2172231532,80b3dde3-01fe-4d93-8701-3629d0e1d412,Châteaufort
way/89671972,2bcdbdb0-2fe9-40b4-9548-ef76edd5d614,Châtenay-Malabry
node/11042437578,6258bc66-5d01-449b-b13f-1409f29e647e,Châtenay-en-France
node/4798915880,2a551eeb-cd55-4d98-a7ec-787e51a8b6f7,Châtenay-sur-Seine
way/349231975,aff25e0d-d0cb-4e3d-a32a-d48e52dbad03,Châtenoy
way/87394669,74daed04-861c-422c-b9a0-ec6da2a500b5,Châtillon
node/4798913797,14a2c745-094c-466b-92b4-1316a49688d2,Châtillon-la-Borde
way/148531556,05869a8b-d18f-4465-bf62-00b7da5c756a,Châtres
way/401935598,c50862e1-95fb-4cd3-871a-2bcbddaefe58,Chérence
node/1928575754,6b917eed-351b-4dba-9317-fc69de0cfe54,Cilaos
node/4798913789,209de1c6-b68e-4145-b9ab-d6cf16e67b13,Citry
node/912616934,fea18190-a279-413c-8cab-7d95d44f964e,Civry-la-Forêt
way/110090394,a292c784-f9db-4c0a-86bf-21b9e20c9ed7,Clairefontaine-en-Yvelines
node/269306155,549f5e48-395e-4c5a-87b9-f827a8fe50b7,Clamart
node/2656471395,c4c7d81e-e1b8-4503-ad03-841cc0cd1899,Claye-Souilly
way/74471585,470f8d8b-c2f2-4f08-89e3-21ee52d61cb8,Clichy
way/77731966,7493c233-b6c2-4a29-9d88-794857194492,Clichy-sous-Bois
node/4798915591,71c5458f-0c40-412f-9ae7-bc32fcb82651,Clos-Fontaine
way/444155792,7596780f-b167-4626-9e4a-18968c43518c,Cléry-en-Vexin
node/4798915566,04bdf64f-1853-4e87-be3d-d26da57dd131,Cocherel
way/372456775,db64cb80-fff7-4756-96df-f916f4b9fc3b,Coignières
way/115405802,03328750-c1f3-4150-8da6-a448328de154,Collégien
way/79573814,39bda65a-aabf-4208-be04-a71333484fa2,Colombes
way/168058004,3cd22b67-cd67-48d5-955c-27fc85bee115,Combs-la-Ville
node/4415269823,823e77e3-f5dd-4def-8260-b1f81e97b8fb,Commeny
node/4415269823,823e77e3-f5dd-4def-8260-b1f81e97b8fb,Commeny
node/4798916230,59ac8a8c-63a9-4673-95df-b9c6fe4debcc,Compans
way/886987982,48302552-b075-489e-88c3-baeb3aaee59a,Conches-sur-Gondoire
way/252946100,96aed90a-6aa8-44b4-82c7-88c3f5accf12,Condé-Sainte-Libiaire
way/161265117,c6684708-a0bb-49bc-88ef-2f31faf40d0c,Condé-sur-Vesgre
node/2846230684,9ffda25c-2d66-43aa-ae6f-b2840d226823,Condécourt
relation/12584006,37d78eee-dbb1-4e24-87bf-a39473aceb46,Conflans-Sainte-Honorine
node/3499196415,5260fd74-54fa-4070-9a3d-1c971083a2c9,Congerville-Thionville
way/115410479,6e98301f-47da-4f7a-a4e3-4d59f07d04a8,Congis-sur-Thérouanne
way/63584930,32a86ecf-5e38-49af-a6db-a4dd7693a6bf,Corbeil-Essonnes
node/3486076913,a800a2ea-b51b-4971-b1ba-02b88f65468c,Corbreuse
node/2947769944,24357758-b556-4837-8218-98dd2dc33fa8,Cormeilles-en-Parisis
