categorie,official_name,longitude,latitude,address_txt,opening_hours,insee,id
france_travail,Agence France Travail BEAUNE,4.844572,47.009029,ZAC PORTE DE BEAUNE  7 Rue Buffon 21200 Beaune,Mo-Fr 08:30-12:30,21054,07d68c38-7e99-43af-a10f-dc0c0fe62172
france_travail,Agence France Travail LANGRES,5.327049,47.848612,29 Avenue du Général de Gaulle 52200 Langres,Mo-Fr 08:30-12:30,52269,087cec28-3d36-4522-949f-2c5cb8bc74dd
france_travail,Agence France Travail BOUCAU,-1.463158,43.529576,40 Impasse des Lilas 64340 Boucau,Mo-Fr 08:30-12:30,64140,0935a45d-60c1-4365-b392-5a133c25747f
france_travail,Agence France Travail BEAUFORT EN ANJOU,-0.214076,47.437468,3 Place de la Republique 49250 Beaufort-en-Anjou,Mo-Fr 08:30-12:30,49021,09d7bc1a-e3bf-44af-8ff4-62f65eb6071a
france_travail,Agence France Travail LIMOGES JOURDAN,1.264262,45.83319,13 cours Jourdan 87000 Limoges,Mo-Fr 08:30-12:30,87085,09f74424-690a-41de-8851-51ebd2c06c19
france_travail,Agence France Travail TOULOUSE BORDEROUGE,1.453016,43.643232,6 Rue Françoise d'Eaubonne 31200 Toulouse,Mo-Fr 08:30-12:30,31555,0aa5bdc1-cfce-4eeb-8e60-56456781e270
france_travail,Agence France Travail VAULX EN VELIN,4.918988,45.781122,1bis Avenue Salvador Allende 69120 Vaulx-en-Velin,Mo-Fr 08:30-12:30,69256,0b184e71-8c02-4938-885d-fc9b8087f5c8
france_travail,Relai France Travail FOURMIES,4.048663,50.016493,8 Rue de la Savonnerie 59610 Fourmies,,59249,0b1cd994-0b06-4557-9fe0-4198ad3dee09
france_travail,Agence France Travail LAVAL SAINT NICOLAS,-0.741925,48.054385,18 Rue Albert Einstein 53000 Laval,Mo-Fr 08:30-12:30,53130,0b34841d-2964-4c35-965a-20781ba37ec9
france_travail,Agence France Travail Les Ulis,2.174133,48.686708,2 Avenue d'Alsace 91940 Les Ulis,,91692,0b4ec607-f209-45f0-92b7-d585f5da004e
